Original Name,Processed Name
Bovine Tracheal Cartilage   ,bovine tracheal cartilage
Chitosan   ,chitosan
Chitosan   ,chitosan
Bovine Colostrum  (Yielding:)  ,bovine colostrum
|Bovine Tracheal Cartilage   (source of chondroitin 4 {sulfate}, and {chondroitin} 6 sulfate)  |,bovine tracheal cartilage
Hydrolyzed Chicken Collagen Type II   ,hydrolyzed chicken collagen type ii
Neptune Krill Oil  (NKO(R) brand)  (yielding)  ,neptune krill oil
Marine Lipid Concentrate  (Yielding:)  ,marine lipid
3333 IU as fish liver oil   ,iu as fish liver oil
Perna Canaliculus  (Green-lipped Mussel)  (Perna Canaliculus)  ,perna canaliculus
Perna canaliculus  (Green-Lipped Mussel)  (Perna canaliculus)  ,perna canaliculus
Perna canaliculus  (Green-Lipped Mussel)  (Perna canaliculus)  ,perna canaliculus
Perna canaliculus  (Green-Lipped Mussel)  (Perna canaliculus)  ,perna canaliculus
Whole Adrenal Glandular   ,whole adrenal glandular
Adrenal Cortex Glandular   ,adrenal cortex glandular
Whole Adrenal Glandular   ,whole adrenal glandular
Adrenal Cortex Glandular   ,adrenal cortex glandular
GlycoMarine(TM)  (Green Lipped Mussel)   ,glycomarine
Collagen II   ,collagen ii
GlycoMarine(TM)  (Green Lipped Mussel)   ,glycomarine
Collagen II   ,collagen ii
Ox Bile   ,ox bile
Deer Antler  (Cervus nippon) (antler)  ,deer antler
Ox Bile   ,ox bile
Colostrum   (as Tegricel(R))  ,colostrum
from rooster comb cartilage   ,from rooster comb cartilage
Raw Adrenal Concentrate  (not an extract; of bovine source)  ,raw adrenal
Spleen  (Concentrate)  ,spleen
Spleen  (Concentrate)  ,spleen
Spleen  (Concentrate)  ,spleen
Spleen  (Concentrate)  ,spleen
Liver Concentrate   ,liver
Pancreas concentrate   ,pancreas
Shark Cartilage powder   ,shark cartilage
|Bovine Tracheal Cartilage   (as Mucopolysaccharides, and Chondroitin Sulfate)  |,bovine tracheal cartilage
Raw Veal Bone   ,raw veal bone
Intrinsic Factor   (from porcine)  ,intrinsic factor
Intrinsic Factor   (from porcine)  ,intrinsic factor
Raw glandular tissue blend   ,raw glandular tissue
Thymus   ,thymus
Spleen   ,spleen
Raw glandular tissue blend   ,raw glandular tissue
Thymus   ,thymus
Spleen   ,spleen
Raw glandular tissue blend   ,raw glandular tissue
Thymus   ,thymus
Spleen   ,spleen
Raw glandular tissue blend   ,raw glandular tissue
Thymus   ,thymus
Spleen   ,spleen
Raw glandular tissue blend   ,raw glandular tissue
Thymus   ,thymus
Spleen   ,spleen
Raw glandular tissue blend   ,raw glandular tissue
Thymus   ,thymus
Spleen   ,spleen
Ox Bile extract   ,ox bile
Ox Bile extract   ,ox bile
Ox Bile extract   ,ox bile
Raw Adrenal Concentrate   (bovine)  ,raw adrenal
Raw Thymus Concentrate   (bovine)  ,raw thymus
Ox Bile extract   ,ox bile
Raw Thymus Concentrate  (not an extract)  ,raw thymus
Raw Spleen Concentrate  (not an extract)  ,raw spleen
Raw Lymph Concentrate  (not an extract)  ,raw lymph
Ox Bile extract   ,ox bile
Raw Thymus Concentrate  (not an extract)  ,raw thymus
Raw Spleen Concentrate  (not an extract)  ,raw spleen
Raw Lymph Concentrate  (not an extract)  ,raw lymph
Raw Pancreas Concentrate   ,raw pancreas
Raw Heart Concentrate Complex  (not an extract; of bovine source)  ,raw heart
Raw Heart Concentrate Complex  ((not an extract) of bovine source)  ,raw heart
Raw Heart Concentrate Complex   ,raw heart
Raw Heart Concentrate Complex   ,raw heart
Raw Heart Concentrate Complex   ,raw heart
Colostrum  (milk (Bovine-Minimum 32% IgG))  ,colostrum
Colostrum   ,colostrum
Colostrum   ,colostrum
Colostrum   ,colostrum
Raw Ovarian Concentrate   ,raw ovarian
Bone Marrow   ,bone marrow
Ox Bile extract   ,ox bile
Bovine Cartilage   ,bovine cartilage
Bovine Cartilage   ,bovine cartilage
|Thymus  (Raw Concentrate, not an extract)  |,thymus
|Lymph  (Raw Concentrate, not an extract)  |,lymph
Spleen   ,spleen
|Thymus  (Raw Concentrate, not an extract)  |,thymus
|Lymph  (Raw Concentrate, not an extract)  |,lymph
Spleen   ,spleen
|Thymus  (Raw Concentrate, not an extract)  |,thymus
|Lymph  (Raw Concentrate, not an extract)  |,lymph
Spleen   ,spleen
|Thymus  (Raw Concentrate, not an extract)  |,thymus
|Lymph  (Raw Concentrate, not an extract)  |,lymph
Spleen   ,spleen
Raw Thymus Concentrate   ,raw thymus
Raw Spleen Concentrate   ,raw spleen
Raw Lymph Concentrate   ,raw lymph
Raw Placenta Concentrate   ,raw placenta
Raw Parotid Concentrate   ,raw parotid
Bone Marrow   ,bone marrow
Raw Thymus Concentrate   ,raw thymus
Raw Spleen Concentrate   ,raw spleen
Raw Lymph Concentrate   ,raw lymph
Raw Placenta Concentrate   ,raw placenta
Raw Parotid Concentrate   ,raw parotid
Bone Marrow   ,bone marrow
Mucopolysaccharide   ,mucopolysaccharide
Mucopolysaccharide   ,mucopolysaccharide
Raw Adrenal Concentrate  (of bovine source; not an extract)  ,raw adrenal
Raw Adrenal Concentrate  (of bovine source; not an extract)  ,raw adrenal
Raw Adrenal Concentrate  (of bovine source; not an extract)  ,raw adrenal
|Raw Orchic Concentrate  (not an extract, of bovine source)  |,raw orchic
Ox Bile extract   ,ox bile
Bone Marrow   ,bone marrow
Deer Antler Velvet   ,deer antler velvet
Intrinsic Factor   (from porcine)  ,intrinsic factor
Raw Heart  (All Glandulars are concentrates (not an extract) of bovine source.)  ,raw heart
Raw Kidney  (All Glandulars are concentrates (not an extract) of bovine source.)  ,raw kidney
Raw Liver  (All Glandulars are concentrates (not an extract) of bovine source.)  ,raw liver
Raw Spleen  (All Glandulars are concentrates (not an extract) of bovine source.)  ,raw spleen
Raw Duodenum  (All Glandulars are concentrates (not an extract) of bovine source.)  ,raw duodenum
Raw Pancreas  (All Glandulars are concentrates (not an extract) of bovine source.)  ,raw pancreas
